date,depth,variable,observation
2018-07-30,1,temperature,26.07538784722222
2018-07-30,2,temperature,24.387959305555555
2018-07-30,3,temperature,20.240473541666667
2018-07-30,4,temperature,14.552683958333333
2018-07-30,5,temperature,11.965018055555555
2018-07-30,6,temperature,11.960934305555556
2018-07-30,7,temperature,11.955761319444445
2018-07-30,8,temperature,11.937309236111112
2018-07-30,9,temperature,11.897148958333334
2018-07-30,1.6,temperature,NA
2018-07-31,0.1,temperature,25.760579791666668
2018-07-31,1,temperature,25.636621666666667
2018-07-31,2,temperature,24.409915694444443
2018-07-31,3,temperature,20.207388055555555
2018-07-31,4,temperature,14.552523958333333
2018-07-31,5,temperature,11.99649013888889
2018-07-31,6,temperature,11.956209166666667
2018-07-31,7,temperature,11.936562777777779
2018-07-31,8,temperature,11.924665555555556
2018-07-31,9,temperature,11.79990701388889
2018-07-31,1.6,temperature,NA
2018-08-01,0.1,temperature,25.66316090277778
2018-08-01,1,temperature,25.418075
2018-08-01,2,temperature,24.34927090277778
2018-08-01,3,temperature,20.274122777777777
2018-08-01,4,temperature,14.5886975
2018-08-01,5,temperature,12.034914444444444
2018-08-01,6,temperature,11.952589861111111
2018-08-01,7,temperature,11.915757569444445
2018-08-01,8,temperature,11.865865555555555
2018-08-01,9,temperature,11.759614444444445
2018-08-01,1.6,temperature,NA
2018-08-02,0.1,temperature,25.482417152777778
2018-08-02,1,temperature,25.348489583333333
2018-08-02,2,temperature,24.25758888888889
2018-08-02,3,temperature,20.27475652777778
2018-08-02,4,temperature,14.661623958333333
2018-08-02,5,temperature,12.075783888888889
2018-08-02,6,temperature,11.951092430555555
2018-08-02,7,temperature,11.900182847222222
2018-08-02,8,temperature,11.835000625
2018-08-02,9,temperature,11.773257777777777
2018-08-02,1.6,temperature,NA
2018-08-03,0.1,temperature,24.856071875
2018-08-03,1,temperature,24.79832798611111
2018-08-03,2,temperature,24.047114930555555
2018-08-03,3,temperature,20.240369305555557
2018-08-03,4,temperature,14.712345763888889
2018-08-03,5,temperature,12.11754875
2018-08-03,6,temperature,11.952497777777777
2018-08-03,7,temperature,11.880714305555555
2018-08-03,8,temperature,11.803697916666668
2018-08-03,9,temperature,11.775760555555555
2018-08-03,1.6,temperature,NA
2018-08-04,0.1,temperature,26.375563055555556
2018-08-04,1,temperature,24.50022625
2018-08-04,2,temperature,24.074102916666668
2018-08-04,3,temperature,20.33043375
2018-08-04,4,temperature,14.73471236111111
2018-08-04,5,temperature,12.178740416666667
2018-08-04,6,temperature,11.962840833333333
2018-08-04,7,temperature,11.864326875
2018-08-04,8,temperature,11.785239027777777
2018-08-04,9,temperature,11.764906458333334
2018-08-04,1.6,temperature,NA
2018-08-05,0.1,temperature,27.73666201388889
2018-08-05,1,temperature,25.24280923611111
2018-08-05,2,temperature,23.990401041666665
2018-08-05,3,temperature,20.333039236111112
2018-08-05,4,temperature,14.823053125
2018-08-05,5,temperature,12.218000972222223
2018-08-05,6,temperature,11.967581180555555
2018-08-05,7,temperature,11.852026527777777
2018-08-05,8,temperature,11.774083958333334
2018-08-05,9,temperature,11.763453680555555
2018-08-05,1.6,temperature,NA
2018-08-06,0.1,temperature,28.043477045454544
2018-08-06,1,temperature,26.038231515151516
2018-08-06,2,temperature,24.114875984848485
2018-08-06,3,temperature,20.3726925
2018-08-06,4,temperature,14.859697196969696
2018-08-06,5,temperature,12.258433484848485
2018-08-06,6,temperature,11.947264545454546
2018-08-06,7,temperature,11.823475303030303
2018-08-06,8,temperature,11.774165681818182
2018-08-06,9,temperature,11.723723409090908
2018-08-06,1.6,temperature,27.088043478260868
2018-08-07,0.1,temperature,27.966409375
2018-08-07,1,temperature,26.83466125
2018-08-07,2,temperature,24.187802013888888
2018-08-07,3,temperature,20.439832708333334
2018-08-07,4,temperature,14.934079791666667
2018-08-07,5,temperature,12.295120416666666
2018-08-07,6,temperature,11.942505138888889
2018-08-07,7,temperature,11.815305138888888
2018-08-07,8,temperature,11.791588888888889
2018-08-07,9,temperature,11.70917451388889
2018-08-07,1.6,temperature,27.307333333333332
2018-08-08,0.1,temperature,27.69269013888889
2018-08-08,1,temperature,26.670996527777778
2018-08-08,2,temperature,24.355352569444445
2018-08-08,3,temperature,20.472933472222223
2018-08-08,4,temperature,15.015585694444445
2018-08-08,5,temperature,12.340517916666666
2018-08-08,6,temperature,11.958214861111111
2018-08-08,7,temperature,11.830019513888889
2018-08-08,8,temperature,11.764490972222223
2018-08-08,9,temperature,11.714932847222222
2018-08-08,1.6,temperature,26.99072222222222
2018-08-09,0.1,temperature,27.658173055555554
2018-08-09,1,temperature,26.838011666666667
2018-08-09,2,temperature,24.556573333333333
2018-08-09,3,temperature,20.485405208333333
2018-08-09,4,temperature,15.075909652777778
2018-08-09,5,temperature,12.382765763888889
2018-08-09,6,temperature,11.948238541666667
2018-08-09,7,temperature,11.809719722222223
2018-08-09,8,temperature,11.75001236111111
2018-08-09,9,temperature,11.721915347222222
2018-08-09,1.6,temperature,27.170979166666665
2018-08-10,0.1,temperature,27.794194861111112
2018-08-10,1,temperature,26.780344027777776
2018-08-10,2,temperature,24.754491041666668
